country_code;year;gear_type;metier;mismatch;;Count of mismatch;Column Labels;;;;;;;;;;;
FRA;2017;GEF;GES_CAT_0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2021;FPO;NK;#VALUE!;;;;;;;;;;;;;;
ESP;2015;SV;SX_DEF_0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2017;LTL;LLS_DEF_0_0_0;#VALUE!;;;;;;;;;;;;;;
DNK;2015;GTN;GNS_DEF_110-156_0_0;#VALUE!;;;;;;;;;;;;;;
PRT;2013;GNS;GTR_DEF_110-156_0_0;#VALUE!;;;;;;;;;;;;;;
PRT;2022;GTR;GNS_SPF_>0_0_0;#VALUE!;;;;;;;;;;;;;;
ENG;2015;GNS;MIS_MIS_0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2017;LLS;MIS_MIS_0_0_0;#VALUE!;;;;;;;;;;;;;;
ENG;2014;OTB;NK;#VALUE!;;;;;;;;;;;;;;
SCO;2017;GNS;MIS_MIS_0_0_0;#VALUE!;;;;;;;;;;;;;;
DNK;2014;OTB;TBB_CRU_16-31_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2015;GTN;GNS_DEF_60-69_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2015;LTL;PS_SPF_>0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2019;OTB;FPO_CRU_>0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2017;GNC;NK;#VALUE!;;;;;;;;;;;;;;
DNK;2023;FPN;FPO_MOL_>0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2017;GNS;LLS_DEF_0_0_0;#VALUE!;;;;;;;;;;;;;;
ROU;2018;NO;DIV_MOL_0_0_0;#VALUE!;;;;;;;;;;;;;;
DNK;2018;OTT;OTB_DEF_16-31_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2017;OTB;GNS_DEF_60-69_0_0;#VALUE!;;;;;;;;;;;;;;
PRT;2015;LLS;GNS_DEF_>0_0_0;#VALUE!;;;;;;;;;;;;;;
DNK;2016;OTB;PTM_SPF_16-31_0_0;#VALUE!;;;;;;;;;;;;;;
ENG;2015;GTR;MIS_MIS_0_0_0;#VALUE!;;;;;;;;;;;;;;
PRT;2020;LHP;NK;#VALUE!;;;;;;;;;;;;;;
FRA;2020;LNB;LN_DEF_0_0_0;#VALUE!;;;;;;;;;;;;;;
IOM;2015;LHP;MIS_MIS_0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2018;LHP;LH_CEP_0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2013;GTN;LHM_SPF_0_0_0;#VALUE!;;;;;;;;;;;;;;
ENG;2018;GNC;GNS_SPF_120-219_0_0;#VALUE!;;;;;;;;;;;;;;
PRT;2017;NO;MIS_MOL_0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2022;HMD;FPO_MOL_>0_0_0;#VALUE!;;;;;;;;;;;;;;
ENG;2019;TBB;NK;#VALUE!;;;;;;;;;;;;;;
PRT;2018;PS;NK;#VALUE!;;;;;;;;;;;;;;
